station_code,station_latitude_deg,station_longitude_deg,site_key,mesh_code,jcode,avs30_mps,arv,avs_eb_mps,avs_ref,jshis_known
AIC001,35.2976,136.75,AIC001|35.2976|136.7500,5236765031,14.0,183.8,1.9397,,0.0,1
AIC002,35.2979,136.9153,AIC002|35.2979|136.9153,5236775331,8.0,402.5,0.9947,,0.0,1
AIC003,35.1732,136.7404,AIC003|35.1732|136.7404,5236650933,15.0,169.3,2.0807,,0.0,1
AIC004,35.0632,136.9737,AIC004|35.0632|136.9737,5236477742,3.0,366.1,1.0783,,0.0,1
AIC004,35.0634,136.9736,AIC004|35.0634|136.9736,5236477742,3.0,366.1,1.0783,,0.0,1
AIC005,35.1979,137.2056,AIC005|35.1979|137.2056,5237613632,10.0,399.0,1.0021,,0.0,1
AIC006,35.2159,137.5086,AIC006|35.2159|137.5086,5237645043,8.0,547.0,0.7659,,0.0,1
AIC007,35.1394,137.3353,AIC007|35.1394|137.3353,5237526642,1.0,775.5,0.5689,,0.0,1
AIC008,35.0977,137.5697,AIC008|35.0977|137.5697,5237541541,2.0,400.3,0.9994,,0.0,1
AIC009,35.0812,137.1464,AIC009|35.0812|137.1464,5237419141,8.0,383.6,1.0363,,0.0,1
AIC010,34.976,137.4236,AIC010|34.9760|137.4236,5237337322,8.0,541.2,0.7729,,0.0,1
AIC011,34.9965,136.8639,AIC011|34.9965|136.8639,5236369931,20.0,253.3,1.4761,,0.0,1
AIC012,34.9119,137.0447,AIC012|34.9119|137.0447,5237209323,15.0,183.8,1.9393,,0.0,1
AIC013,34.9335,137.5761,AIC013|34.9335|137.5761,5237342611,8.0,473.4,0.8663,,0.0,1
AIC014,34.8263,137.22,AIC014|34.8263|137.2200,5237119721,15.0,207.5,1.749,,0.0,1
AIC015,34.7549,137.4047,AIC015|34.7549|137.4047,5237130232,10.0,257.3,1.4564,,0.0,1
AIC016,34.7788,136.9087,AIC016|34.7788|136.9087,5236173223,16.0,260.2,1.4425,,0.0,1
AIC017,34.6694,137.2633,AIC017|34.6694|137.2633,5237020113,8.0,401.2,0.9974,,0.0,1
AIC017,34.6728,137.2606,AIC017|34.6728|137.2606,5237020042,8.0,412.2,0.9747,,0.0,1
AIC018,34.6221,137.1078,AIC018|34.6221|137.1078,5137704841,10.0,291.6,1.3091,,0.0,1
AKT001,40.3279,140.7428,AKT001|40.3279|140.7428,6040359914,11.0,360.1,1.0936,,0.0,1
AKT002,40.2677,140.5659,AKT002|40.2677|140.5659,6040342512,8.0,428.6,0.9429,,0.0,1
AKT003,40.2782,140.2631,AKT003|40.2782|140.2631,6040323113,10.0,318.5,1.2144,,0.0,1
AKT004,40.3888,139.9827,AKT004|40.3888|139.9827,6039476841,8.0,444.4,0.9143,,0.0,1
AKT006,40.2152,140.7873,AKT006|40.2152|140.7873,6040265244,11.0,346.0,1.1316,,0.0,1
AKT007,40.046,140.0813,AKT007|40.0460|140.0813,6040005641,8.0,371.3,1.0654,,0.0,1
AKT008,39.883,140.0716,AKT008|39.8830|140.0716,5940605543,15.0,207.5,1.749,,0.0,1
AKT009,39.8879,139.8466,AKT009|39.8879|139.8466,5939666741,10.0,258.6,1.4503,,0.0,1
AKT011,39.8128,140.5803,AKT011|39.8128|140.5803,5940547632,8.0,522.5,0.7964,,0.0,1
AKT012,39.6991,140.7181,AKT012|39.6991|140.7181,5940453734,10.0,401.1,0.9976,,0.0,1
AKT013,39.6069,140.3213,AKT013|39.6069|140.3213,5940322543,8.0,457.0,0.8927,,0.0,1
AKT014,39.595,140.5554,AKT014|39.5950|140.5554,5940341414,13.0,180.8,1.9673,,0.0,1
AKT015,39.383,140.0499,AKT015|39.3830|140.0499,5940005344,8.0,345.2,1.1338,,0.0,1
AKT016,39.4544,140.476,AKT016|39.4544|140.4760,5940134831,12.0,220.5,1.6611,,0.0,1
AKT017,39.2975,140.5629,AKT017|39.2975|140.5629,5840745531,11.0,344.9,1.1345,,0.0,1
AKT018,39.1939,140.1902,AKT018|39.1939|140.1902,5840613513,8.0,479.5,0.8568,,0.0,1
AKT019,39.0384,140.451,AKT019|39.0384|140.4510,5840434631,11.0,359.7,1.0947,,0.0,1
AKT020,39.2022,139.9085,AKT020|39.2022|139.9085,5839674223,15.0,174.2,2.0309,,0.0,1
AKT021,39.995,140.4031,AKT021|39.9950|140.4031,5940739213,8.0,473.1,0.8668,,0.0,1
AKT022,39.7739,140.6667,AKT022|39.7739|140.6667,5940552334,10.0,436.2,0.9288,,0.0,1
AKT023,39.1462,140.717,AKT023|39.1462|140.7170,5840557732,1.0,641.3,0.6689,,0.0,1
AOM001,41.5267,140.9244,AOM001|41.5267|140.9244,6240273322,8.0,431.1,0.9382,,0.0,1
AOM002,41.3276,140.813,AOM002|41.3276|140.8130,6140769513,10.0,295.3,1.2951,,0.0,1
AOM003,41.4053,141.1691,AOM003|41.4053|141.1691,6241018341,16.0,260.2,1.4425,,0.0,1
AOM004,41.4087,141.4486,AOM004|41.4087|141.4486,6241039522,9.0,289.7,1.3164,,0.0,1
AOM005,41.2948,141.1972,AOM005|41.2948|141.1972,6141715524,9.0,239.1,1.5504,,0.0,1
AOM006,41.1976,140.9972,AOM006|41.1976|140.9972,6140673942,16.0,260.2,1.4425,,0.0,1
AOM007,41.2256,141.3958,AOM007|41.2256|141.3958,6141637121,9.0,248.6,1.4999,,0.0,1
AOM008,41.084,141.2552,AOM008|41.0840|141.2552,6141520012,17.0,194.5,1.8484,,0.0,1
AOM009,40.9665,141.3733,AOM009|40.9665|141.3733,6141325944,8.0,333.6,1.1671,,0.0,1
AOM010,40.8721,141.1416,AOM010|40.8721|141.1416,6141214132,9.0,216.2,1.6888,,0.0,1
AOM011,40.683,141.3696,AOM011|40.6830|141.3696,6141021943,9.0,254.5,1.4698,,0.0,1
AOM011,40.684,141.3694,AOM011|40.6840|141.3694,6141022921,9.0,248.0,1.5026,,0.0,1
